claim_id,policy_id,policy_number,claim_type,claim_date,claim_amount,claim_status,days_to_settle,created_at,updated_at
f57cadbc-3300-4364-a7b0-996e7f601900,03ee059f-7e79-4081-aa93-19dca644e8ad,POL-0010242,weather,2022-11-18,4604.75,open,,2022-11-18 16:32:00,2022-11-18 16:32:00
71b89c9f-1854-47a7-a218-b2bce0482270,35fa5a6c-1854-47cc-90a7-8e24bffff649,POL-0020227,windscreen,2020-09-04,18721.16,open,,2020-09-04 11:45:00,2020-09-04 11:45:00
433ee255-62b4-49fb-9162-bbfc69f78d5b,6ed9c196-3b60-413c-ae34-3f28c2164509,POL-0023678,windscreen,2022-09-21,5627.19,rejected,,2022-09-21 10:58:00,2022-09-21 10:58:00
e812af0c-8e48-48c0-b8ab-e49eabae3b27,2077522e-950c-4ea3-9ed0-9ca9312ec9e5,POL-0009628,theft,2022-07-05,21209.93,settled,22,2022-07-05 12:18:00,2022-07-05 12:18:00
5aee5a8a-d467-4ed7-8d32-baea3110f59c,dd691091-90ce-450d-8130-fabd38451fd0,POL-0004222,windscreen,2020-01-10,28703.18,settled,95,2020-01-10 16:29:00,2020-01-10 16:29:00
70dd12ba-480e-41ab-b7e0-7ff91bc67a3b,16d402d6-a780-4133-9e43-fef93342f283,POL-0004717,accident,2019-06-11,5262.0,rejected,,2019-06-11 16:52:00,2019-06-11 16:52:00
52f7d8c3-d411-455f-86e6-93ba392e7397,42dbcda8-59c4-4f1d-9ad8-c141d4e54191,POL-0021144,accident,2021-08-11,13950.09,open,,2021-08-11 12:54:00,2021-08-11 12:54:00
61df6fff-f6bc-4d58-a5cd-07ee5a29d4c6,2f6fd980-8335-4c73-9122-9ff1e1ffdc08,POL-0014102,weather,2019-02-06,14140.72,settled,175,2019-02-06 13:26:00,2019-02-06 13:26:00
ae38eac9-b6e0-4773-8942-10253bb3ddbc,15269075-5b8b-4543-910e-aa1148601453,POL-0007463,accident,2020-02-23,13362.09,settled,178,2020-02-23 14:08:00,2020-02-23 14:08:00
01cba383-36e7-4f6b-9507-e6ac4ca8f412,bcb65b16-6384-4e37-b3eb-8ddcfdee54b6,POL-0013588,accident,2020-02-03,6033.0,open,,2020-02-03 12:53:00,2020-02-03 12:53:00
3dfc4c1d-e5f8-48ab-8fdc-69570a348eae,e75d7b9d-5dfe-411b-a679-2f83386cf687,POL-0015246,accident,2024-09-26,7098.59,settled,151,2024-09-26 18:07:00,2024-09-26 18:07:00
d98ed1ec-b8e0-438e-8543-0d7e025dffeb,7bf64173-1187-4780-891a-c6c05120f137,POL-0010835,theft,2024-01-07,7486.29,rejected,,2024-01-07 15:09:00,2024-01-07 15:09:00
bbc95601-982b-49d5-ba44-1fac59d08fa4,e3afd213-2ef0-4e51-a318-72131a460d77,POL-0007164,fire,2021-01-16,8721.87,open,,2021-01-16 08:20:00,2021-01-16 08:20:00
68c80c93-f878-45fe-aac1-71ed5b8e137c,9f6a497c-f303-4123-9a56-b101eb82d088,POL-0018449,accident,2021-01-01,15399.58,settled,90,2021-01-01 17:08:00,2021-01-01 17:08:00
89619aed-588b-4615-b18d-8cd5d07deefb,1b314416-b572-4d49-bd7f-1de76de8cba1,POL-0007186,fire,2022-06-21,8331.68,open,,2022-06-21 17:34:00,2022-06-21 17:34:00
387a23ad-e5c1-4268-97e2-546e7e454629,ec1f106c-2622-437c-a951-56d1618a7c23,POL-0017045,theft,2019-11-20,4255.34,rejected,,2019-11-20 08:41:00,2019-11-20 08:41:00
fda05d32-c8fa-4820-8a47-17d1274e43c1,1053e6ce-b4f9-45a4-993a-da1dd3f94aca,POL-0023214,fire,2022-05-07,9979.05,open,,2022-05-07 11:13:00,2022-05-07 11:13:00
ef7fe44e-facd-49d5-a7fb-247c150319ce,52796afc-b3df-4381-b284-8f61623cd64b,POL-0012579,accident,2019-05-03,33197.38,settled,22,2019-05-03 17:19:00,2019-05-03 17:19:00
654d37f1-c6e2-4edf-b315-09c61c1afb81,4f883f65-f6e5-4d00-b06e-1740f6c0a2f5,POL-0002783,accident,2019-09-23,6785.54,open,,2019-09-23 10:07:00,2019-09-23 10:07:00
1e6fc919-a4a5-433b-a9b1-40f3bb86de9a,a44071a5-fc69-41d1-80ee-4a5ccbdf89b8,POL-0000644,windscreen,2022-07-18,4303.73,open,,2022-07-18 08:31:00,2022-07-18 08:31:00
a19fe5b5-bc83-48b6-bc1e-c7927a01dc05,634f918c-88e2-4f33-888b-f52ea5dea029,POL-0012247,accident,2021-07-11,33439.55,settled,171,2021-07-11 15:50:00,2021-07-11 15:50:00
244d7e32-9238-47b9-9303-133871eabdd7,aab15401-3ce9-4a79-a355-5f00b21d72d7,POL-0006707,accident,2019-08-12,12364.46,settled,48,2019-08-12 13:58:00,2019-08-12 13:58:00
c2ad5451-6d4d-4112-b499-7f77cacd048a,ae2a6864-68d4-4bb8-9805-01d5a6e86a89,POL-0000116,fire,2021-07-17,27264.97,settled,175,2021-07-17 09:54:00,2021-07-17 09:54:00
1a9aa34a-730e-493f-b8ac-4e24e375596e,5f80f9a2-d73f-469e-b483-43781b9aee4e,POL-0011791,weather,2022-04-08,2544.47,rejected,,2022-04-08 09:30:00,2022-04-08 09:30:00
65faabbf-85d6-4842-abcc-a8d8bc8b3280,7040132d-80f4-4167-b53f-489b70e29c88,POL-0012036,windscreen,2019-11-29,3182.08,rejected,,2019-11-29 11:11:00,2019-11-29 11:11:00
2d68d8ee-517d-4635-9764-27eec379986e,293e0c25-57f9-4177-a0e0-3d021b279c9a,POL-0016358,accident,2020-11-29,17854.52,rejected,,2020-11-29 11:19:00,2020-11-29 11:19:00
d5743599-7d08-4e24-9e7b-f0d9374805d2,a6efaf9b-37ec-48f5-9493-ca80bb910c69,POL-0005421,accident,2020-10-29,6808.77,settled,166,2020-10-29 12:47:00,2020-10-29 12:47:00
0d042926-631d-4eb3-a5d4-fef2f79456ce,aa33da5a-e766-4743-bd8c-b759178f43d8,POL-0003532,accident,2025-04-22,7029.55,rejected,,2025-04-22 13:24:00,2025-04-22 13:24:00
8370f4c2-41e2-4a5e-9492-2c5f8e916ea6,3fef1b07-5743-40dc-9599-ac3f9dc88fd6,POL-0023224,accident,2021-03-14,1120.7,open,,2021-03-14 08:50:00,2021-03-14 08:50:00
3d6a9453-7eda-4177-bda6-c1477089a67f,b95e27ec-ca75-4a1a-9915-0a3d8ee09634,POL-0018458,fire,2021-05-12,849.78,rejected,,2021-05-12 11:40:00,2021-05-12 11:40:00
d84fd3df-11e2-4339-94ff-d546861baef9,1b121c9c-6693-4f75-a695-45b856e635eb,POL-0020934,accident,2021-07-07,16401.84,open,,2021-07-07 11:02:00,2021-07-07 11:02:00
60ad4fda-3b7c-47b9-a37e-9fef54d55991,6e608d9e-0589-4275-8df6-f1d5a780d1d6,POL-0015688,accident,2021-05-28,3404.22,settled,28,2021-05-28 12:50:00,2021-05-28 12:50:00
2052ef06-ccf9-4c59-9203-dd98701173b1,0bb91b6d-e5b1-4e13-8ef1-bbfa8034fa0d,POL-0012970,accident,2023-12-14,2926.71,settled,112,2023-12-14 09:46:00,2023-12-14 09:46:00
90f9ced7-1b7b-4315-81d3-a0ebe86c7fd0,2efc0982-6aba-4beb-94eb-d9348186c199,POL-0018595,weather,2020-09-16,18339.67,open,,2020-09-16 12:32:00,2020-09-16 12:32:00
6129b29a-5f8f-42f4-95cb-3642a6311bc7,d545f74f-be50-4be9-ba71-841127a07992,POL-0006474,accident,2020-07-05,12214.12,settled,164,2020-07-05 08:01:00,2020-07-05 08:01:00
01b3102a-c62d-4deb-98eb-1f7cea4224ea,9d95dd54-3240-41b8-ab93-c8eb68ba2051,POL-0012367,weather,2020-02-26,28259.04,settled,71,2020-02-26 11:11:00,2020-02-26 11:11:00
